model;description
0421;Vintage orange runner rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0422;Vintage rag rug from Adana region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0429;Vintage gray kilim rug from Adana region of Turkey. In good condition. Approximately 50-60 years old.
0430;Vintage gray kilim rug from Adana region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0432;Vintage gray Turkish kilim rug from Adana region of Turkey. In good condition. Approximately 50-60 years old.
0435;Vintage runner rug from Denizli region of Turkey. In very good condition. Approximately 45-55 years old.
0436;Vintage striped kilim rug from Fethiye region of Turkey. In good condition. Approximately 40-50 years old Rare find, Unique handmade item.
0437;Vintage kilim rug from Adana region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0440;Vintage runner rug from Isparta region of Turkey. In good condition. Approximately 50-60 years old Rare find, Unique handmade item.
0441;Vintage embroidered kilim rug from Adana region of Turkey. In good condition.Aproximately 50-60 years old Rare find, Unique handmade item.
0444;Vintage kilim runner rug from Malatya region of Turkey.İn good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0445;Vintage kilim runner rug from Malatya region of Turkey.İn good condition.Approximately 50-60 years old.
0446;Vintage runner rug from İsparta region of Turkey.İn good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0447;Vintage art deco rug from İsparta region of Turkey.İn good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0448;Vintage art deco rug from İsparta region of Turkey.İn very good condition.Approximately 50-60 years old.
0450;Vintage art deco rug from İsparta region of Turkey.İn good condition.Approximately 50-60 years old.
0454;Vintage striped kilim rug from Malatya region of Turkey.İn good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0455;Vintage kilim runner from Denizli region of Turkey.İn good condition.Approximately 50-60 years old.
0456;Vintage modern kilim rug from Izmir region of Turkey. In good condition. Approximately 45-55 years old.
0457;Vintage kilim runner rug from Denizli region of Turkey.İn good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0458;Vintage kilim runner fron Malatya region of Turkey.İn good condition.Approximately 55-65 years old Rare find, Unique handmade item.
0459;Vintage kilim runner from Denizli region of Turkey.İn good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0461;Vintage colorful kilim rug from Fethiye region of Turkey.İn good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0463;Vintage natural striped kilim rug from Malatya region of Turkey.İn good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0464;Vintage natural striped kilim rug from Malatya region of Turkey.İn good condition.Approximately 55-65 years old Rare find, Unique handmade item.
0468;Vintage wool quilt from Malatya region of Turkey.İn good condition.Approximately 60-70 years old Rare find, Unique handmade item.
0469;Vintage natural wool quilt from Malatya region of Turkey.İn good condition.Approximately 60-70 years old Rare find, Unique handmade item.
0470;Vintage natural wool quilt from Malatya region of Turkey.İn good condition.Approximately 60-70 years old.
0471;Vintage natural striped kilim rug from Malatya region of Turkey.İn good condition.Approximately 50-60 years old.
0474;Vintage art deco rug from İsparta region of Turkey.İn good condition.Approximately 50-60 years old Rare find, Unique handmade item.
